Participant ID,Intervention Group,#DaysOfRecordedData,First 5 Consecutive Days Position,First 5 Consecutive Days Mean,First 5 Consecutive Days Std Dev,Last 5 Consecutive Days Position,Last 5 Consecutive Days Mean,Last 5 Consecutive Days Std Dev,Distance Between First and Last 5 Days
21101,2,63,"(1, 5)",1,0,"(63, 67)",1,0,58
21103,1,38,"(2, 6)",1,0,"(25, 29)",1,0,19
21104,2,50,"(3, 7)",1.6,0.89,"(62, 66)",1.4,0.55,55
21106,2,49,"(10, 14)",1,0,"(59, 63)",1,0,45
21107,2,26,"(10, 14)",1,0,"(31, 35)",1,0,17
21111,2,66,"(1, 5)",1,0,"(62, 66)",1,0,57
21112,2,65,"(1, 5)",1,0,"(61, 65)",1.2,0.45,56
21113,2,66,"(1, 5)",1.2,0.45,"(63, 67)",1,0,58
21114,2,25,"(1, 5)",1,0,"(6, 10)",1,0,1
21115,2,58,"(1, 5)",1.2,0.45,"(63, 67)",1,0,58
21119,2,38,"(1, 5)",1.6,0.55,"(30, 34)",1.4,0.55,25
21120,2,50,"(1, 5)",1,0,"(54, 58)",1.4,0.55,49
21124,2,65,"(1, 5)",1,0,"(58, 62)",1.2,0.45,53
21201,3,66,"(1, 5)",1,0,"(63, 67)",1,0,58
21202,3,63,"(1, 5)",1,0,"(61, 65)",1.2,0.45,56
21203,3,67,"(1, 5)",1,0,"(63, 67)",1,0,58
21211,3,64,"(1, 5)",1,0,"(60, 64)",1.2,0.45,55
21212,3,45,"(1, 5)",1,0,"(36, 40)",1,0,31
21213,3,61,"(1, 5)",1.2,0.45,"(58, 62)",1,0,53
21215,3,67,"(1, 5)",1,0,"(63, 67)",1.2,0.45,58
21216,3,65,"(1, 5)",1,0,"(63, 67)",1,0,58
21217,3,67,"(1, 5)",1,0,"(63, 67)",1,0,58
21218,3,67,"(1, 5)",1,0,"(63, 67)",1,0,58
21220,3,50,"(1, 5)",1.4,0.55,"(42, 46)",1,0,37
21221,3,67,"(1, 5)",1.2,0.45,"(63, 67)",1,0,58
21222,3,59,"(1, 5)",1,0,"(63, 67)",1,0,58
21223,3,67,"(1, 5)",1,0,"(63, 67)",1,0,58
21224,3,63,"(3, 7)",1.2,0.45,"(63, 67)",1,0,56
21225,3,65,"(1, 5)",1,0,"(63, 67)",1,0,58
21226,3,61,"(1, 5)",1,0,"(63, 67)",1.2,0.45,58
21227,3,53,"(1, 5)",1.2,0.45,"(55, 59)",1,0,50
21228,3,32,"(3, 7)",1,0,"(28, 32)",1,0,21
21302,4,65,"(1, 5)",1,0,"(58, 62)",1,0,53
21303,4,59,"(1, 5)",1,0,"(62, 66)",1,0,57
21304,4,66,"(1, 5)",1,0,"(63, 67)",1.2,0.45,58
21305,4,49,"(6, 10)",1.2,0.45,"(59, 63)",1.4,0.55,49
21306,4,62,"(1, 5)",1,0,"(53, 57)",1.2,0.45,48
21307,4,53,"(2, 6)",1.2,0.45,"(54, 58)",1,0,48
21311,4,35,"(1, 5)",1,0,"(44, 48)",1.2,0.45,39
21312,4,48,"(1, 5)",1,0,"(41, 45)",1,0,36
21313,4,34,"(1, 5)",1.2,0.45,"(17, 21)",1.4,0.55,12
21314,4,51,"(1, 5)",1.2,0.45,"(55, 59)",1.4,0.89,50
21315,4,48,"(1, 5)",1,0,"(47, 51)",1.4,0.89,42
21316,4,67,"(1, 5)",1.2,0.45,"(63, 67)",1,0,58
21317,4,67,"(1, 5)",1,0,"(63, 67)",1,0,58
21318,4,65,"(1, 5)",1.2,0.45,"(59, 63)",1.2,0.45,54
21319,4,66,"(2, 6)",1.4,0.55,"(63, 67)",1.2,0.45,57
